,slope,intercept,r-value
PCLN,0.5874949984883112,856.4453087644858,0.7543193092335264
HBANP,0.4204151464576557,1001.4273068314653,0.9701016946054988
REGN,0.4086034417855537,186.5595097087881,0.8904105721980796
AMZN,0.39444171937021877,218.23563446271027,0.8407439456337822
GOOGL,0.3841466362311065,396.0667109861227,0.887776116030214
GOOG,0.35233133146116974,400.30966328696036,0.8717156968943343
UHAL,0.30501823352812785,135.56848878985258,0.9593133991993172
ATRI,0.2499060151136092,197.00263684088884,0.9656227463368596
IBB,0.22666774605302786,165.4341304264197,0.8391036330458674
ORLY,0.22154707942284896,79.93332017699493,0.9776580574073438
TSLA,0.20169135667736232,101.06379916083459,0.7516330057496244
ICPT,0.172401477257043,95.29343414034227,0.41496840408382013
ILMN,0.17059742982686454,71.20909251368938,0.8118300479915747
EQIX,0.1697578514779735,138.33182277669852,0.8464315882738429
SHPG,0.16594138861783186,105.45281977940624,0.7352618868667293
COKE,0.1638501109129487,30.955315255491186,0.8898339963557421
BIIB,0.15923647481549608,224.11678656852365,0.5797747105572348
DHIL,0.15777084312423562,64.10595506761106,0.9423280315273294
AVGO,0.15604305620113934,16.015756426213457,0.9695516497621813
ALGT,0.15353395611461082,66.71264667438469,0.9007618383311826
EGRX,0.14949081589473678,-43.49063275052724,0.8103272776160881
CACC,0.14608976738148813,90.57442877563795,0.8466965276153084
CBPO,0.14180772391391708,1.7093151318061217,0.9488165277117068
NTES,0.1375971492121585,35.200276741001716,0.9377287880091176
MNST,0.13644247123118314,36.0074526254452,0.9393851609477445
ANAC,0.13469313547493425,-15.770788872457246,0.8264126641319534
BLUE,0.12908595040539073,0.5822209635456801,0.5776105898051871
UTHR,0.12693926405428727,59.295517862362445,0.8300227372130315
MSTR,0.12607447525868953,88.55310076349211,0.9011776563165416
DJCO,0.1249675216069493,117.30285118790141,0.8605261289567251
ISRG,0.12157600058800686,423.372306336313,0.4755684143566971
AMSGP,0.12133305173476937,48.82334953265976,0.859597348119516
ULTA,0.12027097174267494,73.20897579044285,0.8775438923804738
CHTR,0.11896145842577807,99.08338115347152,0.9368995234222635
JAZZ,0.11857726579231302,79.87092200416592,0.7107839708270517
INCY,0.10967783502649486,16.83915786049272,0.8732492621312616
BIDU,0.1093278012295811,121.88629938477263,0.6328748345654706
TQQQ,0.10870619690458279,29.161648610310245,0.9074118937546258
NFLX,0.10604714919173726,19.33320211122865,0.9164478594499994
TREE,0.1058607587535271,2.306143777237857,0.8659361344125895
BWLD,0.1056717738704273,98.0516124745429,0.797259436247788
FB,0.10177061694269623,24.34515064522261,0.9745971148741646
ABMD,0.10152544852194348,0.9231155663492174,0.9012153013082954
RARE,0.1000949390627524,10.53779111357958,0.6455618237807225
GWPH,0.10000270089817209,19.98522146219866,0.6810286659714326
ALXN,0.09947785598093768,106.81752265126187,0.7406900492805076
SWKS,0.0978148641260604,12.338811003066162,0.875980103328765
CBRL,0.09778698690551613,66.35383925594503,0.9136271407559787
ULTI,0.09556991622462102,108.96512191026089,0.8526431710989564
AMGN,0.0953192384962901,87.91498858606695,0.9098037906478735
