,slope,intercept,r-value
AMZN,0.9595995732324731,337.91147275411333,0.872079478657757
GOOGL,0.8753707698304874,499.7191136413627,0.9174496180598385
GOOG,0.8195577378546174,491.01800896350426,0.9058607512924306
PCLN,0.4752086402230759,1138.327196981764,0.4673321400881729
EQIX,0.35807040731794904,202.72241809528336,0.9677902414203535
HBANP,0.3234019645400704,1240.4765854756554,0.8696761984931605
COKE,0.2958516051437461,100.54645910332323,0.8141646555691608
UHAL,0.2314805774861165,308.80690302371477,0.6068979696769399
ORLY,0.22523794699723074,199.97292180085745,0.9061067491511847
ISRG,0.19933698469763153,486.9070288282459,0.5676058810970332
ATRI,0.19165409094110702,334.647271063081,0.7201324460166226
STMP,0.18212944957241053,48.70380327696324,0.9124736949295692
NTES,0.1599561485327095,106.95395176560856,0.6992859911255844
TREE,0.15614663831029,53.05694511191332,0.615208613471723
NFLX,0.15389029225563666,67.69805102176011,0.7165000881746232
ULTA,0.1496104148757975,137.0158531767869,0.8605012210083105
CBPO,0.13997063807048393,80.80104644851701,0.7405324246947359
CHDN,0.13940151846686535,104.01307660127462,0.8827536688748159
MKTX,0.13749959909985873,73.51212810994072,0.9447709834147101
LGND,0.1334965938451818,67.20478070304088,0.7904446968379565
ANAC,0.1317241058447884,62.25918799320576,0.3775182573349931
ABMD,0.12422520343985322,55.5961718915711,0.7574508073952743
DHIL,0.12041267345567343,156.03933059962185,0.5294866506122335
FB,0.11611572040919534,73.18785196369022,0.9371406687746439
PNRA,0.11437898623910826,164.99350237779137,0.781946655475872
HIFS,0.11041155361769155,93.30214773621645,0.8371799515092468
CASY,0.10282305458099766,84.41000654189335,0.844931580455115
EGRX,0.10197046347002797,46.14622067248687,0.4402553673964959
AMWD,0.10156364471512327,44.56893673907131,0.8466665227878278
AEPI,0.09779156530829082,46.925705274307994,0.7550142320838146
USCR,0.0967841882171452,28.571419354575582,0.8797297226309874
VRSN,0.09668551532363054,56.06769594750125,0.8894496600710496
AMSGP,0.09488234713037197,117.93232301428108,0.6483367933116446
UFPI,0.093141458561481,46.70769100987749,0.881601491665422
LANC,0.09263693746263169,79.75825537568686,0.8480828801599548
ULTI,0.09143306085053465,160.5178610868541,0.6003259101063525
JBSS,0.08841609318344743,36.44187068926739,0.9064325385077526
AVGO,0.087895940251765,112.6238912186084,0.6353697958547967
ZBIO,0.08565627773004802,8.267925572956777,0.7048414214620055
EXPE,0.08380803191773278,93.6338677339265,0.5985373883030423
WDFC,0.08287927864155874,76.64914692734368,0.9167857495058388
HSIC,0.08268860581888085,133.4755592953999,0.7747854316498385
ESLT,0.08195885368024615,64.04782472045517,0.8750410946074147
FISV,0.07903327032907993,73.62693551897729,0.9436361236017554
MLAB,0.07861429929412526,79.13826457944825,0.5495728851731903
FIZZ,0.07832396451249983,17.179800131523987,0.8929579579999449
HA,0.07637251586624533,16.191602337778225,0.8706636838772214
EEFT,0.07571535390269346,52.93937516917659,0.8359792971795428
HELE,0.07399794970964477,77.547270493094,0.7700854347150444
CORE,0.07340007803350031,56.05352067399261,0.7072932884785864
