,slope,intercept,r-value
PCLN,0.58769577681414,856.3877382917876,0.7532520574518085
HBANP,0.4206192705119141,1001.3687887886924,0.9699361967776469
REGN,0.4106351519665255,185.97704768747047,0.8918539350459338
AMZN,0.39317932712390774,218.59752526869102,0.8394743207899189
GOOGL,0.3832007625508768,396.337856882433,0.8869213004710652
GOOG,0.3513615791704248,400.58765297957757,0.8707247442220338
UHAL,0.30580405616491707,135.34321494955609,0.9596358425905525
ATRI,0.2501219685215086,196.94072978332548,0.9654881833691543
IBB,0.2279920371184526,165.05447555578962,0.8410321425150133
ORLY,0.22149211586686443,79.9490788033519,0.9774939290482128
TSLA,0.20209533117060202,100.9479785956078,0.7512184576727992
ICPT,0.17399228781687828,94.83738067708397,0.41729731648378027
ILMN,0.17162206049158327,70.91529394864548,0.8139588083408018
EQIX,0.1690620658024664,138.5312889108072,0.845271575945164
SHPG,0.16702761102076435,105.14142153432715,0.7374064816663595
COKE,0.16397314074009559,30.920050761656256,0.8893284872398806
BIIB,0.1607477321836124,223.68353734850265,0.5832197248278383
DHIL,0.15817944812498794,63.988818411920946,0.942603669869012
AVGO,0.15598623080726703,16.032040100740673,0.969331372817593
ALGT,0.15385085543573576,66.62179308167212,0.9007107267017841
EGRX,0.1513247145439825,-44.370894974098675,0.8158104873344186
CACC,0.14641818380556185,90.48028573619922,0.8465783014600375
CBPO,0.1417549896100218,1.7244315354266107,0.9484446319159037
NTES,0.1378529107772809,35.126953245535994,0.9377239918197224
MNST,0.13686346366535362,35.88676491837243,0.9398669034543953
ANAC,0.135310506998244,-15.947785644505196,0.8274787701885435
BLUE,0.1305149027814516,0.05841758760362126,0.5816209446035236
UTHR,0.12783774300681772,59.03794066709236,0.8328688477524832
MSTR,0.1262122129962314,88.5136155622857,0.9008070825723865
DJCO,0.12541479489423174,117.1746162184505,0.8610851516549103
AMSGP,0.12171304484737966,48.61611104930192,0.8590415018971468
ISRG,0.11992121875375579,423.84669338599457,0.4705713124744219
ULTA,0.11978050366860486,73.34957867267826,0.8767603376424995
JAZZ,0.11913989566790809,79.70962991652303,0.7117262305687706
CHTR,0.11893130939917089,99.09202836833778,0.9364592435220978
INCY,0.11025125913784588,16.67476727524351,0.8748257018886546
BIDU,0.10970336202528488,121.77863591683004,0.6330032417386494
TQQQ,0.10897282232729122,29.085209841966247,0.9075322777369744
BWLD,0.10642688711509726,97.83512743077961,0.8000561177287854
NFLX,0.1062019550435609,19.28880259869318,0.9163084819055685
TREE,0.10571022351419301,2.3493011917655764,0.864928798325814
FB,0.1017781881496051,24.34298257445286,0.9744242880200238
ABMD,0.10131171314252224,0.9843878389041905,0.9004644487863622
RARE,0.10103026081713579,10.09398295472753,0.6481111063318405
GWPH,0.10047934802841389,19.821666292204554,0.6817372461465325
ALXN,0.10010163132594488,106.63869861278773,0.7426610039105275
SWKS,0.09820408255344144,12.227226453506724,0.8767818137899186
CBRL,0.0978007094547249,66.34990145827524,0.9131023648056152
ULTI,0.09549302954719409,108.98716742918899,0.85163755532729
AMGN,0.09545405889406708,87.87633878730372,0.9095591683700597
