,slope,intercept,r-value
AAL,-0.03272146655331132,49.26016548773698,-0.7199925928714911
AAME,0.0023898002226864596,3.6634651070145616,0.5639287824679546
AAOI,0.01687431909030058,13.288955125497901,0.49841834614844077
AAON,0.003792344522907345,22.12145752045367,0.1918639450903083
AAPC,0.000421856183449767,10.13107472048004,0.33809747135686347
AAPL,-0.06815344941737772,126.02777173401535,-0.6571252813935833
AAVL,-0.14409440878823163,44.22903523826638,-0.903505713464191
AAWW,-0.04218808833724339,51.131793539376346,-0.6435947053503555
AAXJ,-0.046133894456810896,65.10335690809711,-0.7995361821654131
ABAC,-0.0038242564796490187,1.725015998843228,-0.8613815815090465
ABAX,-0.05491381286145971,60.89645297722912,-0.7727568716681994
ABCB,0.01951763732506207,24.35246238245199,0.6533275515646427
ABCD,0.007110566773762989,2.890264333542103,0.7246999246242855
ABCO,-0.05150906893824338,56.28837156267838,-0.6647885801961885
ABCW,0.034813248717646565,33.5099853953262,0.9349929523111381
ABDC,-0.005407172521917006,12.339104121515673,-0.6325446330116236
ABEO,-0.004844975594842808,5.023217672591187,-0.28353978564804744
ABGB,-0.061759956456842166,19.236773119392492,-0.9031394775936551
ABIL,-0.00864287160747919,10.841216496517623,-0.6660631395329261
ABIO,-0.007114565834412722,6.659046517828033,-0.5347277919539924
ABMD,0.12422520343985322,55.5961718915711,0.7574508073952743
ABTL,0.026595384454186046,12.273339388918156,0.7320476575903965
ABUS,-0.06320980159766788,21.10753888026974,-0.9386034563531316
ABY,-0.06401432913474854,34.98559996712738,-0.8549857307281724
ACAD,-0.03985827634031138,41.064758852521656,-0.5132328159443751
ACAS,-0.0019622579822026216,14.410717924236952,-0.23074017316773535
ACAT,-0.08013990853997296,39.7337297845012,-0.938797326629929
ACET,0.011865748230076687,21.59944498190819,0.37960403664407694
ACFC,0.007904239269909916,3.7568303506172094,0.8672837653921189
ACGL,0.0380498434489342,61.00516549263731,0.7162272502080188
ACHC,-0.035002908374109847,72.64806587390632,-0.42619448799904674
ACHN,-0.015289138762894974,11.819818542865733,-0.7314885829296844
ACIW,-0.003766118205822025,22.169996970280433,-0.17045171157724784
ACLS,-0.0003075718591408363,2.802808814435033,-0.10988009527136841
ACNB,0.009290093690630035,18.94523910093203,0.8938413061822614
ACOR,-0.009831374248025694,36.12252100053466,-0.2209332798904101
ACPW,-0.003908892012817913,2.363038117672996,-0.8638984008068473
