,slope,intercept,r-value
AAL,0.0396338370549018,17.217261735263246,0.8278438446000966
AAME,0.0009357720840419713,3.4547401402811286,0.6316024515603978
AAOI,0.0006037783394764061,16.229484063535356,0.028486229622727652
AAON,0.014157519119101663,13.240489226353613,0.8561280449309782
AAPL,0.08162322712008988,56.46846265254554,0.8659444050038632
AAVL,-0.0952352588804086,84.17256785426946,-0.8036955416515403
AAWW,-4.8403287362058686e-05,41.6510303285094,-0.0020083399301148754
AAXJ,0.0002907274460401714,57.182451578049175,0.017149271403293476
ABAC,-0.00018716422005865172,1.4241434907266903,-0.07808932731400439
ABAX,0.014544385584669977,40.19448321860928,0.48799031103325935
ABCB,0.01996782038541585,14.029983329668308,0.9481659789539422
ABCD,0.004920965179651911,0.46152121255066625,0.8839635651010032
ABCO,-0.017101923773712516,59.19890808766478,-0.5420273863244828
ABDC,-0.0013348809686437111,12.170551394209438,-0.258585657188048
ABEO,-0.028962685111997687,25.120844732719384,-0.8774188802994607
ABGB,-0.030538910771187953,30.211882328741336,-0.7092877922071086
ABIL,-0.0026427471653103353,11.03352173096084,-0.4430751973625113
ABIO,-0.01544533078766942,15.982897989698799,-0.8317579787790632
ABMD,0.10152544852194348,0.9231155663492174,0.9012153013082954
ABTL,0.01806611656297642,4.345752930791751,0.8476959855772775
ABUS,0.002461932756123907,9.805426199285087,0.09469102735444128
ABY,-0.04438358213217931,53.973637730513204,-0.8364507192566693
ACAD,0.029329788176073998,13.255228037555439,0.7346012088630779
ACAS,0.00013373825921505122,14.234347813913118,0.03700227630897217
ACAT,-0.03689444286597707,52.005633689530214,-0.8038461495549438
ACET,0.017344500835867124,11.898916065274925,0.8533705249144932
ACFC,0.001990359458720257,3.6621309865340743,0.5874136701924622
ACGL,0.02718746686097809,47.93966976849404,0.8996711346364632
ACHC,0.05158549168184916,29.8792365653691,0.8574844831540982
ACHN,0.0040109160956151736,6.118771125974517,0.3227446227702557
ACIW,0.007685661536913097,16.067409282908653,0.713523820465691
ACLS,0.0017183774357939436,1.4990956322743443,0.796963756656125
ACNB,0.009379003816279435,14.104939227669943,0.9811756391107351
ACOR,0.0021652649108525514,32.86029490970098,0.14584201963229995
ACPW,-0.003953321717912214,4.317800571619984,-0.9414744286142711
ACRX,-0.006791020490557794,9.821954221807912,-0.5873946609291364
ACSF,-0.0035565205887441473,12.924837302069136,-0.604808250106773
ACST,-0.035832402574100496,27.670892102528967,-0.36100019375476117
ACTA,-0.003215576092290838,16.104111205921317,-0.23593923470469233
ACTG,-0.022776816253678594,23.875853409342344,-0.9170387902761529
ACTS,-0.0016797636743945766,2.8222040182591552,-0.8212166164898347
ACUR,-0.012112933851767694,11.089732841722583,-0.9234003427024768
ACWI,0.01121311627969633,49.72304638272301,0.6733870819526576
ACWX,-0.0001486836986944275,42.212461715358714,-0.013839367543229756
ACXM,-0.008158087709600746,26.25801163692074,-0.3453236607099237
ADBE,0.06251123274310276,40.246347581631184,0.9707206815522725
ADHD,-0.01829582706779865,19.768930310281785,-0.6462634692983654
ADI,0.023192285479774286,40.485027887931416,0.8375776815669569
ADMA,-0.0019188935473920426,9.909890539955576,-0.22779513662974513
ADMP,-0.007721919903664892,9.638861170527594,-0.734541469068592
ADMS,0.0025057761543640744,16.41059847226765,0.10732753811969671
ADP,0.0452577501034024,51.63828817631999,0.9449321513682623
ADRA,0.001465739318710352,26.689543684834888,0.21453222548827097
ADRD,0.000918209034550916,21.241749754650293,0.14598625281661956
ADRE,-0.007441367543299231,37.439155338037395,-0.5477195698265918
ADRU,0.0010861321119998353,20.830598426620657,0.16179394808382688
ADSK,0.02523435150986918,39.153752650332734,0.7393363219333433
ADTN,-0.008350463763848561,23.993800534676282,-0.6577763334076709
ADUS,0.010823885961279997,17.540414818714705,0.48702874702183135
ADXS,0.009359271750927711,4.2092922383399385,0.4139350436345848
AEGN,-0.006945304720835944,23.83254961104948,-0.668367788698512
AEGR,-0.07361400792020519,68.20636507798693,-0.749046998659597
AEHR,0.0004910845536778278,1.8548089538648553,0.2004530117557458
AEIS,0.01482062184707832,16.668958125489034,0.7884046458065052
AEMD,0.0022844637890494313,7.18344889304153,0.17566709042010817
AEPI,0.0013157434556327757,57.824713501133985,0.021552141525597052
AERI,0.002069234788693708,18.983692489446547,0.06614866406113741
AETI,-0.005553230329103467,8.0353294670932,-0.6761094830132712
AEY,-0.000552002173866723,2.650964009464105,-0.3983797559848719
AEZS,-0.28341235690747074,220.59011062004,-0.9553885114905019
AFAM,0.030987773837663143,16.4315814729689,0.8619886092587692
AFH,0.015348801411175589,7.621370652050032,0.9247455005917685
AFOP,0.007997066743670051,11.381522514599297,0.4963428173532571
AFSI,0.022138283359808796,12.935340956145637,0.8992815867300095
AGEN,0.002541708674141782,3.1623634126387037,0.39130834934981995
AGII,0.03528538137362418,30.490969541412234,0.9634562909699671
AGIIL,0.006646902177326464,20.406828524108445,0.8143786495578962
AGIO,0.08159531397603771,21.55268646249977,0.5087400273870335
AGNC,-5.226691973772953e-05,17.76306580111002,-0.007818783585946149
AGNCB,0.005251032663198562,19.405427901086806,0.8919481118652054
AGNCP,0.006370126583973911,19.933062389220634,0.9638770733109663
AGND,-0.008619650419516378,49.9502668372768,-0.9321176010151999
AGRX,-0.00019548702403061243,8.125671403118139,-0.016039265415172924
AGTC,-0.00783808145529403,22.59646114405183,-0.32636467014513343
AGYS,-0.0018453956250315384,12.131606679481182,-0.28612962382619617
AGZD,-0.0026322245544336373,49.83853747618198,-0.825370333735982
