,slope,intercept,r-value
AAL,0.03980618569811593,17.167853469048058,0.8287642738277329
AAME,0.000934904947119552,3.4549890097490144,0.6299413360190238
AAOI,0.0006836042042433031,16.19641446722714,0.03213705872786594
AAON,0.014129323135920621,13.24857190813701,0.855011552535464
AAPL,0.08195305915992276,56.37390569862356,0.8667589273936205
AAVL,-0.09543831339809804,84.28637712520532,-0.8023976529861362
AAWW,-4.061298651950526e-05,41.648798300456484,-0.0016790213942745767
AAXJ,0.0003190265252649795,57.17433967113929,0.018753494078134394
ABAC,-0.0001763287751598831,1.42103720654449,-0.07343142604447436
ABAX,0.014660602693699619,40.16116502904153,0.4901117007330889
ABCB,0.019970660060528417,14.029169379687678,0.947832084777205
ABCD,0.00492488769707452,0.4603967849971955,0.8834452013550329
ABCO,-0.016890311405013868,59.13824227228942,-0.537554565082271
ABDC,-0.0013665418470098247,12.187055168446609,-0.2631819798297913
ABEO,-0.029005848195473076,25.133218626527196,-0.8770886993667858
ABGB,-0.030462675727466613,30.179518874365826,-0.7068310789878942
ABIL,-0.0025648766090948525,10.996413112902992,-0.43402383782837367
ABIO,-0.015460648729248136,15.987289208878998,-0.8311190216349992
ABMD,0.10131171314252224,0.9843878389041905,0.9004644487863622
ABTL,0.018093418218363397,4.337926967832433,0.8472881919624446
ABUS,0.002580452699646671,9.771448861393836,0.09899057407059574
ABY,-0.044522128955196916,54.04814626360147,-0.8358228334949536
ACAD,0.029412956420160855,13.231385643447378,0.734549178037339
ACAS,0.00010953482111590079,14.241286482085039,0.030296129551478177
ACAT,-0.03682729774048758,51.986383665533644,-0.8024102811535127
ACET,0.017391971845303198,11.885307587006668,0.8534828670521505
ACFC,0.001976062527964838,3.6662296608603784,0.583960907491128
ACGL,0.02718767872007003,47.93960858798078,0.8990484995323298
ACHC,0.05185035357992239,29.803306318570066,0.8589621987764738
ACHN,0.004028168606635656,6.113824900915379,0.3229785125664545
ACIW,0.007723402878781888,16.056589748440206,0.714568509793791
ACLS,0.0017200074773664632,1.4986283866836048,0.7962148569991204
ACNB,0.009374610814841125,14.10619852725012,0.9810395065081705
ACOR,0.0022692694192200727,32.830478665631134,0.1526605790738566
ACPW,-0.003954511641862461,4.318141731859894,-0.941122416747651
ACRX,-0.006787198883180068,9.820858543146937,-0.5857850198549632
ACSF,-0.00359273653653691,13.051970098610836,-0.6029201257864253
ACST,-0.035909849571769424,27.693094594927786,-0.3605528836102816
ACTA,-0.003155387671405099,16.086856137566432,-0.23127743293618633
ACTG,-0.022773265186878548,23.874835395659296,-0.916485973985142
ACTS,-0.0016817414369982846,2.8227708781110197,-0.8206195020764737
ACUR,-0.012159641366450228,11.103122939394353,-0.9242333293608791
ACWI,0.011243341062491181,49.71438230282881,0.6731964762851784
ACWX,-0.0001285791794972219,42.20669911851713,-0.011928054627447246
ACXM,-0.008198133007654896,26.269491879136332,-0.34577645030890375
ADBE,0.06246777018681439,40.25880726993586,0.9705078802865411
ADHD,-0.018304131541734416,19.771865902286848,-0.6448891625800856
ADI,0.023225458529711432,40.47551716727057,0.8371101971630344
ADMA,-0.0018971881737451992,9.90067607629501,-0.22440576798199696
ADMP,-0.007814915435858903,9.665520688815503,-0.7413099438949836
ADMS,0.002524757845999115,16.40096196582369,0.10750608409435727
ADP,0.045254649046539495,51.63917717796136,0.9445567041301918
ADRA,0.001490083583547717,26.68256548385067,0.21737117567188172
ADRD,0.0009458083696867934,21.233838056325975,0.1499439038689512
ADRE,-0.007455998922896675,37.44335026984575,-0.5471248797046768
ADRU,0.0011137004458769914,20.822695629507873,0.1653976990279513
ADSK,0.025263341862184974,39.145441665103164,0.7385395818030047
ADTN,-0.008398379473488772,24.007534775546723,-0.6592487485421428
ADUS,0.010939382342658576,17.50730473885246,0.49053166535677495
ADXS,0.009404577747363795,4.196303468038446,0.41446015280073534
AEGN,-0.007007980670570182,23.850517592432915,-0.6720154732397243
AEGR,-0.07358590901214086,68.1983095516307,-0.7477296251978846
AEHR,0.0005035950973709476,1.8512223262386382,0.20500084281868586
AEIS,0.01473043580936826,16.69481201975479,0.7867475568999862
AEMD,0.002345016860138911,7.166089629930123,0.17980912068368585
AEPI,0.0011982798267136713,57.858387603367376,0.019562666478301325
AERI,0.0022212366400745035,18.918529762500295,0.07072994216928834
AETI,-0.005534433165162073,8.029940870131155,-0.6737726550629667
AEY,-0.0005460346126125224,2.649253219537368,-0.3940417709551689
AEZS,-0.28387551817785944,220.7228895162421,-0.9553818849818526
AFAM,0.031035824244758953,16.417806719925153,0.8616326744158004
AFH,0.015397607237500392,7.606436809771403,0.925197821302432
AFOP,0.007992907658923385,11.382714827159752,0.4947925717206202
AFSI,0.022253096646365187,12.902426437138553,0.9008877373121909
AGEN,0.0025584660022296506,3.1575590922657826,0.3924646703599276
AGII,0.03536167000860444,30.469098960149587,0.9636419718677325
AGIIL,0.006654199528997069,20.404736486584255,0.813727247198404
AGIO,0.08262211498200872,21.159327266927306,0.5130052895757433
AGNC,-7.207670152817096e-05,17.768744983094418,-0.010749293117600827
AGNCB,0.005206199078358867,19.428798442829343,0.8913677500894462
AGNCP,0.006360673718975401,19.935772363703958,0.9636620963431616
AGND,-0.008626922152477326,49.953571976784275,-0.9316238920993948
AGRX,-0.00011912158077760097,8.085389061597073,-0.009728350520591794
AGTC,-0.007879570588605871,22.617228941712874,-0.3262543485605178
AGYS,-0.0018490362525018609,12.13265023458468,-0.2856999730832707
AGZD,-0.0026391702026463946,49.841694047558846,-0.8249033117605875
AHGP,-0.03026612495134404,55.44452509356071,-0.5961742868476656
